Date,Open,High,Low,Close,Adj Close,Volume,CAGR,annual avg of CAGR over all time,S&P annual CAGR,BRK annual CARG,BRK vs SP500
1996-05-01,22.200001,24.4,19.799999,20.4,20.4,9535000,9.98%,,,,
1996-06-01,20.4,22.200001,20,20.66,20.66,1590000,10.39%,,,,
1996-07-01,20.66,21.799999,20.1,20.52,20.52,1750000,10.37%,,,,
1996-08-01,20.5,22.34,20.440001,20.82,20.82,1150000,10.44%,,,,
1996-09-01,20.9,21.92,20.719999,21.459999,21.459999,1100000,10.39%,,,,
1996-10-01,21.459999,21.879999,21.1,21.58,21.58,1350000,10.31%,,,,
1996-11-01,21.66,22.58,21.48,22.059999,22.059999,1530000,10.30%,,,,
1996-12-01,21.940001,23.5,21.559999,22.24,22.24,3405000,10.28%,10.31%,23.06%,-2.00%,-25.06%
1997-01-01,22.200001,23.299999,21.76,23.1,23.1,4045000,10.27%,,,,
1997-02-01,23.200001,25,23.059999,23.76,23.76,2615000,10.10%,,,,
1997-03-01,23.780001,25.280001,23.74,24.200001,24.200001,2395000,10.02%,,,,
1997-04-01,24.16,25.700001,23.940001,25.42,25.42,2405000,9.99%,,,,
1997-05-01,25.42,29.700001,25.1,28.9,28.9,3670000,9.79%,,,,
1997-06-01,29,32.48,28.559999,31.6,31.6,4995000,9.21%,,,,
1997-07-01,31.68,32.139999,30.76,31.620001,31.620001,2850000,8.84%,,,,
1997-08-01,31.700001,31.9,27.540001,27.84,27.84,2920000,8.87%,,,,
1997-09-01,27.860001,30.280001,27.860001,29.9,29.9,1825000,9.50%,,,,
1997-10-01,29.959999,31.299999,28,29.379999,29.379999,2380000,9.20%,,,,
1997-11-01,29.42,30.9,29.08,30.16,30.16,1325000,9.32%,,,,
1997-12-01,30.4,31.059999,29.959999,30.780001,30.780001,2100000,9.20%,9.52%,33.67%,40.91%,7.24%
1998-01-01,30.780001,33.860001,30.58,33.540001,33.540001,3760000,9.17%,,,,
1998-02-01,33.860001,37.279999,33.84,37.200001,37.200001,3755000,8.76%,,,,
1998-03-01,37.380001,46.48,37.32,44.900002,44.900002,10545000,8.32%,,,,
1998-04-01,45,47.459999,43.68,45.900002,45.900002,6885000,7.47%,,,,
1998-05-01,46,49.759998,45.16,46.959999,46.959999,5845000,7.39%,,,,
1998-06-01,46.799999,55.900002,46.799999,52.259998,52.259998,11570000,7.34%,,,,
1998-07-01,52.259998,52.439999,45.439999,46.84,46.84,9675000,6.84%,,,,
1998-08-01,47,48.700001,40.099998,40.16,40.16,9385000,7.38%,,,,
1998-09-01,40.040001,43.619999,37.860001,39.860001,39.860001,14085000,8.18%,,,,
1998-10-01,39.200001,45.639999,38.32,42.959999,42.959999,11340000,8.31%,,,,
1998-11-01,43.259998,46.720001,43,45.02,45.02,7870000,7.87%,,,,
1998-12-01,44.919998,47.5,39,47,47,20550000,7.71%,7.90%,28.73%,51.04%,
1999-01-01,47.080002,47.400002,40.959999,43,43,27570000,7.51%,,,,
1999-02-01,44.599998,51.700001,44,47.580002,47.580002,18455000,7.81%,,,,
1999-03-01,47.400002,54.259998,47.02,47.02,47.02,20960000,7.54%,,,,
1999-04-01,47.439999,50.119999,46.040001,49.400002,49.400002,15585000,7.56%,,,,
1999-05-01,50,50.799999,45.700001,46.360001,46.360001,12105000,7.33%,,,,
1999-06-01,46.200001,48.5,44.220001,44.799999,44.799999,10890000,7.76%,,,,
1999-07-01,44.700001,46.66,42.200001,42.540001,42.540001,13565000,7.95%,,,,
1999-08-01,42.299999,43.299999,39.98,40.060001,40.060001,15065000,8.27%,,,,
1999-09-01,40.240002,41.400002,36.040001,37.119999,37.119999,16565000,8.55%,,,,
1999-10-01,36.799999,42,35.84,41.799999,41.799999,14470000,9.05%,,,,
1999-11-01,42.799999,44.380001,36.98,37.299999,37.299999,16720000,8.31%,,,,
1999-12-01,37.400002,37.759998,34.015625,36.599998,36.599998,22600000,9.04%,8.06%,21.11%,-22.21%,
2000-01-01,36.5,37.759998,32.919998,32.919998,32.919998,17550000,9.20%,,,,
2000-02-01,33.32,34.18,28.32,28.799999,28.799999,28375000,9.72%,,,,
2000-03-01,28.74,36.66,27.02,36.400002,36.400002,26620000,10.54%,,,,
2000-04-01,36.700001,39.16,35.099998,38.32,38.32,12450000,9.29%,,,,
2000-05-01,38.200001,39,33.200001,37.720001,37.720001,9750000,9.11%,,,,
2000-06-01,37.720001,39.5,34.400002,35.200001,35.200001,10535000,9.22%,,,,
2000-07-01,35.200001,38.799999,34.115623,36.5,36.5,10515000,9.63%,,,,
2000-08-01,36.580002,41.48,36.34,38.259998,38.259998,12170000,9.46%,,,,
2000-09-01,38.200001,41.720001,36.099998,41.400002,41.400002,11045000,9.27%,,,,
2000-10-01,41,42.5,35.220001,42.060001,42.060001,12440000,8.93%,,,,
2000-11-01,41.5,43.98,39.799999,43.48,43.48,11945000,8.90%,,,,
2000-12-01,43.360001,47.5,42.700001,47.080002,47.080002,11615000,8.70%,9.33%,-9.11%,20.67%,
2001-01-01,47.459999,49.5,42.84,45,45,16365000,8.25%,,,,
2001-02-01,45,47.959999,44.919998,46.779999,46.779999,11370000,8.58%,,,,
2001-03-01,46.5,48,41.700001,43.52,43.52,16140000,8.44%,,,,
2001-04-01,43.32,46.439999,41.5,45.5,45.5,11045000,8.86%,,,,
2001-05-01,45.5,46.580002,44.419998,45.439999,45.439999,11655000,8.63%,,,,
2001-06-01,45.880001,46.599998,43.02,46,46,9385000,8.62%,,,,
2001-07-01,46,47.34,44.919998,45.919998,45.919998,9430000,8.65%,,,,
2001-08-01,45.919998,46.68,44.799999,46.240002,46.240002,7740000,8.69%,,,,
2001-09-01,46.040001,47.16,39.540001,46.599998,46.599998,19785000,8.72%,,,,
2001-10-01,46.200001,50.299999,45.540001,47.080002,47.080002,19305000,8.74%,,,,
