# https://www.retirebeforedad.com/dividend-aristocrats/?export-supsystic-table=true&type=csv&id=19
,TABLE UPDATED 04/26/2021,,,,,,,,,,,
SYM,NAME,PRICE,P/E (TTM),P/E (NXT YR),DIV/SH,YIELD,EPS (NXT YR),PEG,PR/BK,Payout,5-YR DGR,Score
BEN,Franklin Resources,$29.89 ,19.18,9.19,1.12,3.81%,3.25,1.77,1.45,36.55%,12.47%,29
AFL,Aflac,$53.57 ,8.029999999999999,10.49,1.32,2.47%,5.11,1.74,1.11,27.13%,7.23%,28
CAH,Cardinal Health,$60.72 ,12.89,9.720000000000001,1.94,3.16%,6.24,1.34,9.050000000000001,32.25%,5.80%,25
TROW,T. Rowe Price Group,$178.92 ,17.93,13.96,4.32,2.42%,12.82,1.05,5.29,35.39%,11.60%,25
CB,Chubb Limited,$167.40 ,21.49,13.32,3.2,1.89%,12.57,0.62,1.27,27.43%,3.00%,24
NUE,Nucor ,$79.93 ,14.83,17.49,1.62,2.08%,4.57,0.92,2.09,14.15%,1.56%,24
ATO,Atmos Energy ,$102.47 ,19.9,18.94,2.5,2.42%,5.41,2.81,1.82,49.50%,8.13%,23
ABBV,AbbVie,$111.51 ,40.99,8.039999999999999,5.2,4.67%,13.87,2.15,15.05,41.95%,18.50%,22
GD,General Dynamics ,$185.53 ,16.86,15.25,4.76,2.55%,12.16,3.44,3.39,42.87%,9.94%,22
IBM,IBM,$142.23 ,23.78,11.88,6.52,4.58%,11.97,2.19,5.94,59.68%,5.42%,22
PBCT,People\'s United Financial,$18.10 ,35.02,13.72,0.72,4.02%,1.32,1.01,1.04,54.95%,1.61%,22
SWK,Stanley Black & Decker,$206.85 ,26.62,18.26,2.8,1.34%,11.33,2,3.48,27.12%,5.37%,22
LOW,Lowe\'s Companies,$198.81 ,25.65,17.97,2.4,1.19%,11.06,1.5,101.11,24.47%,17.14%,21
ADM,Archer-Daniels-Midland,$60.46 ,19.19,15.22,1.48,2.49%,3.97,10.61,1.68,38.15%,5.15%,20
CINF,Cincinnati Financial ,$108.76 ,14.51,25.75,2.52,2.30%,4.22,3.38,1.62,62.96%,5.33%,20
PPG,PPG Industries,$174.29 ,34.74,19.84,2.16,1.24%,8.779999999999999,1.61,7.07,27.29%,8.22%,20
T,AT&T,$30.96 ,19.23,9.77,2.08,6.63%,3.17,11.08,1.34,65.55%,2.04%,20
WBA,Walgreens Boots Alliance,$52.88 ,78.40000000000001,10.16,1.87,3.53%,5.2,3.14,2.16,39.17%,5.81%,20
AOS,A. O. Smith ,$68.00 ,32.08,24.38,1.04,1.52%,2.79,3.37,5.95,41.10%,20.86%,19
DOV,Dover ,$146.48 ,28.74,19.43,1.98,1.34%,7.54,1.93,6.03,28.56%,3.73%,19
