Company,Ticker,Sector,Dividend Yield,5Y Ann. DPS Growth,DIVCON Score,Q4 2020,Q3 2020,Q2 2020,Q1 2020,S&P 500
Apple Inc,AAPL,IT,0.62%,0.97%,67,5,5,5,5,Y
Microsoft Corp,MSFT,IT,0.17%,0.11%,65,5,5,5,5,Y
Amazon.com Inc,AMZN,Comm.,0.00%,0.00%,,,,,,Y
Alphabet Inc,GOOG,Disc.,0.00%,0.00%,,,,,,Y
Alphabet Inc,GOOGL,Disc.,0.00%,0.00%,,,,,,Y
Facebook Inc,FB,Disc.,0.00%,0.00%,,,,,,Y
Tesla Inc,TSLA,Comm.,0.00%,0.00%,,,,,,Y
Berkshire Hathaway Inc,BRK/A,Fin.,0.00%,0.00%,,,,,,Y
Berkshire Hathaway Inc,BRK/B,Fin.,0.00%,0.00%,,,,,,Y
Visa Inc,V,IT,0.59%,0.20%,62.25,4,4,5,5,Y
Walmart Inc,WMT,Stap.,0.15%,0.20%,61.5,4,4,4,4,Y
Johnson & Johnson,JNJ,Health,0.26%,0.62%,62,4,4,4,4,Y
JPMorgan Chase & Co,JPM,Fin.,0.28%,0.16%,47.5,3,3,3,4,Y
Procter & Gamble Co/The,PG,Stap.,0.23%,0.34%,65.75,5,4,4,4,Y
Mastercard Inc,MA,IT,0.49%,0.21%,6.75,4,5,5,5,Y
NVIDIA Corp,NVDA,IT,0.12%,0.11%,62,4,5,4,4,Y
UnitedHealth Group Inc,UNH,Health,0.14%,0.28%,64.25,5,5,4,5,Y
Home Depot Inc/The,HD,Comm.,0.23%,0.25%,65,5,4,4,5,Y
Walt Disney Co/The,DIS,Disc.,0.00%,0.00%,,,,,2,Y
PayPal Holdings Inc,PYPL,IT,0.00%,0.00%,,,,,,Y
Verizon Communications Inc,VZ,Disc.,0.43%,0.22%,57,4,4,4,4,Y
Bank of America Corp,BAC,Fin.,0.24%,0.29%,49.25,3,3,4,4,Y
Comcast Corp,CMCSA,Disc.,0.18%,0.13%,57.25,4,4,4,4,Y
Adobe Inc,ADBE,IT,0.00%,0.00%,,,,,,Y
Pfizer Inc,PFE,Health,0.42%,0.63%,58.25,4,5,4,4,Y
Netflix Inc,NFLX,Disc.,0.00%,0.00%,,,,,,Y
Coca-Cola Co/The,KO,Stap.,0.30%,0.44%,61,4,4,4,4,Y
NIKE Inc,NKE,Comm.,0.78%,0.12%,6.75,4,4,4,5,Y
AT&T Inc,T,Disc.,0.72%,0.24%,49.25,3,3,3,3,Y
Merck & Co Inc,MRK,Health,0.32%,0.65%,64.5,5,5,4,5,Y
salesforce.com Inc,CRM,IT,0.00%,0.00%,,,,,,Y
Intel Corp,INTC,IT,0.26%,0.66%,64.5,5,5,4,4,Y
PepsiCo Inc,PEP,Stap.,0.28%,0.79%,6.75,4,4,4,4,Y
Abbott Laboratories,ABT,Health,0.16%,0.84%,59,4,4,4,5,Y
Thermo Fisher Scientific Inc,TMO,Health,0.19%,0.80%,63.5,4,4,4,4,Y
Cisco Systems Inc,CSCO,IT,0.32%,0.12%,56.75,4,4,4,4,N
AbbVie Inc,ABBV,Health,0.49%,0.18%,6.25,4,4,4,4,Y
Oracle Corp,ORCL,IT,0.15%,0.20%,48.25,3,3,3,3,Y
QUALCOMM Inc,QCOM,IT,0.18%,0.67%,52.5,3,3,4,4,Y
Chevron Corp,CVX,Energy,0.61%,0.38%,55,3,3,3,3,Y
Exxon Mobil Corp,XOM,Energy,0.84%,0.39%,49,3,2,2,3,Y
Broadcom Inc,AVGO,IT,0.33%,0.53%,56.5,4,3,3,3,Y
T-Mobile US Inc,TMUS,Disc.,0.00%,0.00%,,,,,,Y
Costco Wholesale Corp,COST,Stap.,0.74%,0.14%,66.25,5,4,4,4,Y
Danaher Corp,DHR,Health,0.32%,0.59%,41.25,2,5,4,4,Y
Charter Communications Inc,CHTR,Disc.,0.00%,0.00%,,,,,,Y
