ABBV, aristocrat
ABM, king
ABT, aristocrat
ADM, aristocrat
ADP, aristocrat
AFL, aristocrat
ALB, aristocrat
AMCR, aristocrat
AOS, aristocrat
APD, aristocrat
ATO, aristocrat
AWR, king
BDX, aristocrat
BEN, aristocrat
BF.B, aristocrat
BKH, king
CAH, aristocrat
CAT, aristocrat
CB, aristocrat
CBSH, king
CINF, king
CL, king
CLX, aristocrat
CTAS, aristocrat
CVX, aristocrat
CWT, king
DOV, king
ECL, king
ED, aristocrat
EMR, king
ESS, aristocrat
EXPD, aristocrat
FMCB, king
FRT, king
FUL, king
GD, aristocrat
GPC, king
GWW, aristocrat
HRL, king
IBM, aristocrat
ITW, aristocrat
JNJ, king
KMB, aristocrat
KO, king
LANC, king
LEG, aristocrat
LIN, aristocrat
LOW, king
MCD, aristocrat
MDT, aristocrat
MKC, aristocrat
MMM, king
MO, king
MSA, king
NDSN, king
NEE, aristocrat
NFG, king
NUE, aristocrat
NWN, king
O, aristocrat
PBCT, aristocrat
PEP, aristocrat
PG, king
PH, king
PNR, aristocrat
PPG, king
ROP, aristocrat
SCL, king
SHW, aristocrat
SJW, king
SPGI, aristocrat
SWK, king
SYY, king
T, aristocrat
TGT, aristocrat
TR, king
TROW, aristocrat
UVV, king
VFC, aristocrat
WBA, aristocrat
WMT, aristocrat
WST, aristocrat
XOM, aristocrat
